,fake,profile_pic,sim_name_username_Full match,sim_name_username_No match,sim_name_username_Partial match,extern_url,private,ratio_numlen_username,ratio_numlen_fullname,len_desc,num_posts,num_followers,num_following
159,0,1,0.0,0.0,1.0,0,0,0.1,0.0,0,11,125,101
160,0,1,0.0,0.0,1.0,0,0,0.09,0.0,0,252,229,383
161,0,1,0.0,1.0,0.0,1,1,0.15,0.0,95,15,357,489
162,0,1,0.0,0.0,1.0,0,0,0.0,0.0,0,74,137,96
163,0,1,0.0,1.0,0.0,0,1,0.0,0.0,46,83,255,535
164,0,1,0.0,1.0,0.0,0,1,0.0,0.0,123,126,87,399
165,0,1,0.0,1.0,0.0,1,0,0.0,0.0,117,663,326946,3
166,0,1,0.0,0.0,1.0,0,1,0.0,0.0,26,0,114,446
167,0,1,0.0,1.0,0.0,0,1,0.0,0.0,0,10,167,387
168,0,1,0.0,1.0,0.0,0,1,0.0,0.0,58,8,1247,1196
169,0,1,0.0,0.0,1.0,0,0,0.0,0.0,0,24,585,1364
170,0,1,0.0,0.0,1.0,0,1,0.0,0.0,30,65,135,232
171,0,1,0.0,1.0,0.0,1,0,0.0,0.0,62,64,722,261
172,0,1,0.0,1.0,0.0,1,0,0.45,0.25,137,664,714,1159
173,0,1,0.0,1.0,0.0,1,0,0.0,0.0,149,130,39867,4664
174,0,0,0.0,0.0,1.0,0,1,0.0,0.0,14,131,533,1060
175,0,1,0.0,0.0,1.0,0,1,0.0,0.0,19,917,1158,3932
176,0,1,0.0,1.0,0.0,1,0,0.0,0.0,131,2,45834,280
177,0,1,0.0,0.0,1.0,0,0,0.0,0.0,0,142,876,529
178,0,1,0.0,0.0,1.0,0,0,0.09,0.0,5,165,3003,455
179,0,1,0.0,1.0,0.0,0,0,0.09,0.0,0,80,1298,407
180,0,1,0.0,1.0,0.0,0,1,0.0,0.0,11,32,3800,278
181,0,1,0.0,0.0,1.0,0,1,0.0,0.0,0,81,1358,127
182,0,1,0.0,0.0,1.0,1,0,0.0,0.0,27,334,6741307,111
183,0,1,0.0,1.0,0.0,1,0,0.38,0.0,10,8,791,456
184,0,1,0.0,0.0,1.0,1,0,0.0,0.0,72,373,732075,363
185,0,1,0.0,0.0,1.0,0,1,0.0,0.0,3,56,373,360
186,0,1,0.0,0.0,1.0,0,1,0.0,0.0,51,7,162,311
187,0,1,0.0,0.0,1.0,0,1,0.0,0.0,44,12,309,364
188,0,1,0.0,0.0,1.0,0,0,0.0,0.0,0,5,135,176
